$GPGGA,180000.00,4914.8807,N,12259.9449,W,1,11,1.5,102.1,M,0.0,M,,
$GPGGA,180001.00,4914.8834,N,12259.9444,W,1,14,1.7,59.1,M,0.0,M,,
$GPGGA,180002.00,4914.8826,N,12259.9483,W,1,14,1.1,70.7,M,0.0,M,,
$GPGGA,180003.00,4914.8801,N,12259.9505,W,1,15,1.1,112.6,M,0.0,M,,
$GPGGA,180004.00,4914.8792,N,12259.9511,W,1,10,1.8,36.3,M,0.0,M,,
$GPGGA,180005.00,4914.8812,N,12259.9501,W,1,13,1.0,95.3,M,0.0,M,,
$GPGGA,180006.00,4914.8837,N,12259.9526,W,1,7,1.0,62.0,M,0.0,M,,
$GPGGA,180007.00,4914.8869,N,12259.9506,W,1,13,1.1,83.0,M,0.0,M,,
$GPGGA,180008.00,4914.8872,N,12259.9459,W,1,9,1.2,14.1,M,0.0,M,,
$GPGGA,180009.00,4914.8904,N,12259.9443,W,1,15,1.8,46.5,M,0.0,M,,
$GPGGA,180010.00,4914.8915,N,12259.9488,W,1,8,1.7,58.4,M,0.0,M,,
$GPGGA,180011.00,4914.8882,N,12259.9516,W,1,15,1.7,11.7,M,0.0,M,,
$GPGGA,180012.00,4914.8891,N,12259.9535,W,1,9,1.2,82.0,M,0.0,M,,
$GPGGA,180013.00,4914.8882,N,12259.9489,W,1,9,0.8,96.0,M,0.0,M,,
$GPGGA,180014.00,4914.8856,N,12259.9469,W,1,11,1.1,86.2,M,0.0,M,,
$GPGGA,180015.00,4914.8892,N,12259.9448,W,1,8,1.6,103.8,M,0.0,M,,
$GPGGA,180016.00,4914.8912,N,12259.9435,W,1,15,1.1,44.8,M,0.0,M,,
$GPGGA,180017.00,4914.8897,N,12259.9439,W,1,14,1.7,13.9,M,0.0,M,,
$GPGGA,180018.00,4914.8928,N,12259.9456,W,1,8,1.0,85.3,M,0.0,M,,
$GPGGA,180019.00,4914.8953,N,12259.9465,W,1,11,1.8,92.1,M,0.0,M,,
$GPGGA,180020.00,4914.8962,N,12259.9470,W,1,13,1.8,93.6,M,0.0,M,,
$GPGGA,180021.00,4914.8969,N,12259.9492,W,1,8,1.2,86.3,M,0.0,M,,
$GPGGA,180022.00,4914.8937,N,12259.9525,W,1,7,0.8,97.6,M,0.0,M,,
$GPGGA,180023.00,4914.8949,N,12259.9533,W,1,11,1.1,57.4,M,0.0,M,,
$GPGGA,180024.00,4914.8995,N,12259.9516,W,1,10,1.3,72.3,M,0.0,M,,
$GPGGA,180025.00,4914.8970,N,12259.9492,W,1,9,0.9,18.7,M,0.0,M,,
$GPGGA,180026.00,4914.8949,N,12259.9478,W,1,13,1.4,36.5,M,0.0,M,,
$GPGGA,180027.00,4914.8957,N,12259.9442,W,1,9,1.0,80.2,M,0.0,M,,
$GPGGA,180028.00,4914.8969,N,12259.9456,W,1,14,1.0,11.0,M,0.0,M,,
$GPGGA,180029.00,4914.8961,N,12259.9452,W,1,14,1.7,84.5,M,0.0,M,,
$GPGGA,180030.00,4914.8988,N,12259.9444,W,1,9,0.8,114.0,M,0.0,M,,
$GPGGA,180031.00,4914.8947,N,12259.9443,W,1,11,1.4,56.7,M,0.0,M,,
$GPGGA,180032.00,4914.8971,N,12259.9425,W,1,11,1.2,43.2,M,0.0,M,,
$GPGGA,180033.00,4914.8990,N,12259.9382,W,1,13,1.6,21.7,M,0.0,M,,
$GPGGA,180034.00,4914.8970,N,12259.9368,W,1,13,1.3,73.2,M,0.0,M,,
